id,title
587,"United States. Army. Ohio Infantry Regiment, 124th (1862-1865)"
588,Virginia -- Politics and government -- To 1775
589,Québec (Province) -- Fiction
590,Clergy -- Finland -- Helsinki -- Biography
591,Swedish literature -- History and criticism
592,Venice (Italy) -- Description and travel
593,Actors -- Correspondence
594,Jerusalem -- History
595,Abbeys -- Wales -- Valle Crucis -- History
596,"Rembrandt Harmenszoon van Rijn, 1606-1669"
597,Animals -- Great Britain
598,Biochemistry
599,Historical drama
600,Donegal (Ireland : County) -- Description and travel
601,"Medici, Isabella Romola de'', 1542-1576 -- Fiction"
602,"Epigrams, German -- Translations into English"
603,Color
604,Business -- Fiction
605,"Smith, George, 1830-"
606,New Zealand -- Social life and customs -- Fiction
607,France -- Social life and customs -- 19th century -- Fiction
608,"Rousseau, Jean-Jacques, 1712-1778"
609,Jesus Christ -- Fiction
610,"Lassalle, Ferdinand, 1825-1864"
611,Travel -- Fiction
612,"World War, 1914-1918 -- Drama"
613,Mars (Planet) -- Fiction
614,Ordnance -- Fiction
615,Dairying -- Australia
616,Space flight -- Fiction
617,Labor unions -- United States
618,Middle class -- France -- Drama
619,Antarctica -- Discovery and exploration -- British
620,American essays -- 19th century
621,Boarding schools -- England -- Juvenile fiction
622,Camp Fire Girls -- Juvenile fiction
623,Interplanetary voyages -- Fiction
624,France -- History
625,Animals -- Juvenile fiction
626,Mormon pioneers -- Utah -- Manti -- Biography
627,Danish drama -- Translations into English
628,Accidents -- Juvenile fiction
629,French literature -- 19th century -- History and criticism
630,Mythology -- Juvenile literature
631,Logic -- Early works to 1800
632,Education -- England -- Oxford -- History -- 16th century
633,Syria -- Church history
634,Currency question -- Great Britain
635,Tarzan (Fictitious character) -- Fiction
636,Missions -- India
637,Humorous stories
638,Legends
639,Buddhism
640,"Sumner, Charles, 1811-1874"
641,"Great Britain -- History -- William and Mary, 1689-1702"
642,French literature
643,"Christian poetry, English -- 19th century"
644,Italian poetry -- 20th century
645,Pirates
646,Vermont -- History
647,Alcoholics -- Fiction
648,Horology
649,Wine and wine making
650,California -- Social life and customs -- Fiction
651,"Children''s stories, English"
652,German literature -- 20th century -- Translations into English
653,War crime trials -- Germany -- Nuremberg
654,Revenge -- Fiction
655,Religion
656,Cork
657,"Desertion, Military -- Texas"
658,Conduct of life -- Fiction
659,"Speeches, addresses, etc."
660,"Operas -- Excerpts, Arranged"
661,Conducting
662,Christian saints
663,"Sanborn, Kate, 1839-1917"
664,English language -- Composition and exercises
665,"Short stories, Finnish"
666,"Scudéry, Madeleine de, 1607-1701"
667,Science -- Popular works
668,Children's periodicals
669,Ireland -- Fiction
670,Snakes -- Texas
671,Portuguese fiction
672,"Nursery rhymes, English"
673,Egypt -- Antiquities
674,Women -- Ontario -- Social conditions -- 19th century -- Fiction
675,Marriage -- Fiction
676,Indians of North America -- Juvenile fiction
677,Christian saints -- Italy -- Cascia -- Biography
678,Law -- Great Britain
679,Extinct cities -- Juvenile fiction
680,Ethics
681,"Paine, Thomas, 1737-1809. Age of reason"
682,"Germany -- History -- Hohenstaufen, 1138-1254 -- Fiction"
683,India -- Religion
684,Ireland -- History -- 18th century -- Fiction
685,"Richard III, King of England, 1452-1485 -- Early works to 1800"
686,"Christian literature, English"
687,French fiction
688,Warwickshire (England) -- Description and travel
689,Paris (France) -- Intellectual life -- 19th century -- Fiction
690,Knitting
691,Folklore -- Borneo
692,Sanitation -- History
693,Italian fiction -- 15th century -- Translations into English
694,Radio broadcasting
695,Nuclear physics -- Computer programs
696,New South Wales -- Discovery and exploration -- Early works to 1800
697,Nursery rhymes -- History and criticism
698,Men -- Societies and clubs -- Drama
699,"World War, 1914-1918 -- United States"
700,"World War, 1914-1918 -- Miscellanea"
701,French poetry
702,Mutiny -- Fiction
703,Tales -- Tanzania
704,"Agamemnon, King of Mycenae (Mythological character) -- Drama"
705,Married people -- Fiction
706,Middle class -- Fiction
707,Sweden -- Juvenile fiction
708,Africa -- Description and travel
709,Queens -- Biography -- Juvenile literature
710,Consolation
711,England -- Periodicals
712,Villages -- Fiction
713,"South African War, 1899-1902 -- Fiction"
714,Women automobile drivers -- Fiction
715,Grizzly bear
716,Temperance -- Fiction
717,"Sermons, English"
718,Grace (Theology) -- Sermons
719,"Du Barry, Jeanne Bécu, comtesse, 1743-1793"
720,"World War, 1914-1918 -- Campaigns -- Turkey"
721,Italian poetry -- 19th century
722,"World''s Columbian Exposition (1893 : Chicago, Ill.)"
723,Palestine -- Description and travel
724,British -- France -- Fiction
725,Folklore -- United States
726,"Argenson, René-Louis de Voyer, marquis d'', 1694-1757"
727,Methuen & Co. -- Catalogs
728,Ohio -- Social life and customs -- Fiction
729,Dogs -- Folklore
730,Swimming -- Juvenile fiction
731,"Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction"
732,"Chinese literature -- Ming dynasty, 1368-1644"
733,Interpersonal relations -- Juvenile fiction
734,Confucius. Chun qiu
735,"Waterloo, Battle of, Waterloo, Belgium, 1815"
736,Medicine -- Practice
737,Submarines (Ships) -- Fiction
738,"Pepys, Samuel, 1633-1703 -- Diaries"
739,Italian poetry
740,Conduct of life
741,Medicine -- Anecdotes
742,French literature -- 18th century
743,"Coney Island (New York, N.Y.) -- Fiction"
744,Worcester (England) -- Fiction
745,Philippines -- Discovery and exploration
746,Theosophy
747,Cuba -- Description and travel
748,Indian mythology -- Peru
749,Dakota Indians -- Biography
750,Seafaring life
751,Orphans -- Juvenile fiction
752,"Holmes, Oliver Wendell, 1809-1894"
753,"Augustine, Saint, Bishop of Hippo -- Fiction"
754,"Cook, James, 1728-1779"
755,Women -- Health and hygiene
756,Bible. Judges -- Commentaries
757,Mate selection -- Fiction
758,United States. Army -- Biography
759,Treasure troves -- Fiction
760,Future life -- Fiction
761,Bread
762,Businesswomen -- Fiction
763,"Gilbert, William, 1544-1603"
764,Mormons -- Controversial literature
765,Buddhism -- Sacred books
766,Dogs -- Juvenile fiction
767,Australia -- Description and travel
768,Jesuits -- Canada
769,Sex -- Caricatures and cartoons
770,United States -- Social life and customs -- 19th century -- Fiction
771,Railroads -- Juvenile fiction
772,"Thackeray, William Makepeace, 1811-1863 -- Travel -- Belgium"
773,Ranching -- New Mexico -- Fiction
774,Ranch life -- Fiction
775,Japan -- Fiction
776,England -- Description and travel
777,Uncles -- Fiction
778,"Italy, Northern -- Description and travel"
779,Philosophy
780,United States -- Politics and government -- 1933-1945
781,Satire
782,"Authors, Swiss -- 19th century -- Diairies"
783,"Shakespeare, William, 1564-1616 -- Tragedies"
784,Parapsychology -- Fiction
785,Paraffin injections
786,Insects -- Juvenile poetry
787,Art
788,Etiquette
789,Switzerland -- History -- 19th century -- Fiction
790,South Pole
791,"Saunders, David, 1717-1796"
792,Australia -- Fiction
793,"Reconstruction (U.S. history, 1865-1877) -- Fiction"
794,Hinduism -- Sacred books
795,"Hotel Danieli (Venice, Italy)"
796,Prince Edward Island -- History -- 20th century -- Fiction
797,Manners and customs -- Fiction
798,Norwegian drama -- Translations into English
799,Mollusks -- Juvenile literature
800,American literature -- Southern States
801,"Hannay, Richard (Fictitious character) -- Fiction"
802,Valtellina (Italy) -- History
803,German fiction -- Translations into English
804,Tanks (Military science)
805,Architecture -- Early works to 1800
806,Germany -- History -- 1871-1918 -- Caricatures and cartoons
807,Locomotives -- History -- Juvenile fiction
808,"Bible. Chronicles, 1st"
926,"Kapodistrias, Iōannēs Antōniou, 1776-1831"
809,"Victoria, Queen of Great Britain, 1819-1901 -- Anniversaries, etc."
810,"Fables, English"
811,Sealing ships -- Fiction
812,Adolescence
813,Literary curiosa
814,Science
815,Newfoundland and Labrador -- Description and travel
816,Buddhism -- Relations -- Christianity
817,Weeds -- Seeds
818,Madrid (Spain) -- Social life and customs -- Fiction
819,Voyages around the world
820,"Operations, Surgical"
821,Austrian fiction -- Translations into Finnish
822,Indians of North America -- Great Plains
823,Frogs
824,Criminals -- France
825,Acadians -- Poetry
826,Thailand -- History -- 1782-1945 -- Fiction
827,Reformation
828,United States -- Social life and customs -- 20th century -- Fiction
829,Hydrotherapy
830,Phrenology
831,Robots -- Fiction
832,Dancers -- Fiction
833,Constitutional amendments -- United States
834,Private investigators -- England -- Fiction
835,Race relations -- Fiction
836,"Twain, Mark, 1835-1910"
837,Legends -- Hawaii
838,Clergy -- France
839,Exiles -- Fiction
840,"Napoleon I, Emperor of the French, 1769-1821"
841,Tales -- Germany
842,"Science fiction, American -- Periodicals"
843,Americans -- England -- Fiction
844,Society for Pure English
845,Sports stories
846,Bumblebees -- Juvenile fiction
847,Triangles (Interpersonal relations) -- Fiction
848,Women -- France
849,"Train, George Francis, 1829-1904"
850,"Conrad, Joseph, 1857-1924 -- Travel"
851,Judaism
852,E. & F. N. Spon -- Catalogs
853,Pioneers -- United States -- Biography -- Anecdotes
854,"Franklin, Benjamin, 1706-1790"
855,Dakota art
856,London (England) -- Description and travel
857,Indians of North America -- Dwellings
